Date_Time_Hour_Beginning,Thermal_Gen_Excl_Pumping_and_SCO,Eskom_OCGT_SCO_Pumping,Eskom_Gas_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Thermal_Generation,Nuclear_Generation,International_Imports,Eskom_OCGT_Generation,Eskom_Gas_Generation,Dispatchable_IPP_OCGT,Hydro_Water_Generation,Pumped_Water_Generation,IOS_Excl_ILS_and_MLR,ILS_Usage,Manual_Load_Reduction_MLR,Wind,PV,CSP,Other_RE
2022-03-11 00:00:00,17569.935000000001,-5.0650000000000004,-2,0,-2131,19708,914,1154,0,0,0,603,0,0,0,1826.962,913.35699999999997,0,17.449000000000002,18.298999999999999
2022-03-11 18:00:00,21639.781000000003,-4.7990000000000004,-2,0,-4,21650.580000000002,913,1224,132,0,298.71100000000001,603,1308,0.59999999999999998,0,1003.867,1189.607,30.032,274.005,8.2530000000000001
2022-03-11 19:00:00,21770.067999999999,-4.9320000000000004,-2,0,-6,21783,913,1184,128,0,311.22300000000001,603,1340,0.59999999999999998,0,1517.404,1201.4659999999999,0.42199999999999999,275.41199999999998,8.5800000000000001
2022-03-11 20:00:00,21727.067999999999,-4.9320000000000004,-2,0,-6,21740,913,1165,23,0,86.403999999999996,603,328,0.59999999999999998,0,1965.5930000000001,1044.191,0,265.90300000000002,8.5109999999999992
2022-03-11 21:00:00,20696.067999999999,-4.9320000000000004,-2,0,-854,21557,913,1169,0,0,0,603,0,0.59999999999999998,0,1774.981,1147.2470000000001,0,88.539000000000001,12.942
2022-03-11 22:00:00,19546.067999999999,-4.9320000000000004,-2,0,-1741,21294,913,1141,0,0,0,603,0,0.59999999999999998,0,1361.7139999999999,1189.4010000000001,0,0,15.837999999999999
2022-03-11 23:00:00,18697.201000000001,-4.7990000000000004,-2,0,-2207,20911,913,1133,0,0,0,603,0,0.59999999999999998,0,1160.837,1190.8820000000001,0,0,15.769
2022-03-11 05:00:00,20252.935000000001,-5.0650000000000004,-2,0,-89,20349,914,1215,24,0,0,603,1083,30.800000000000001,0,1236.008,930.81200000000001,0,0,15.772
2022-03-11 06:00:00,20388.401000000002,-3.5990000000000002,-2,0,-4,20398,914,1380,382,0,165.595,603,1688,0,342.69999999999999,785.18899999999996,999.59100000000001,29.305,0,16.042000000000002
2022-03-11 07:00:00,20496.934000000001,-3.0659999999999998,-2,0,-6,20508,914,1365,608,0,69.757999999999996,603,560,0.25,104.3,1339.752,1007.275,540.87300000000005,5.0309999999999997,17.763000000000002
2022-03-11 08:00:00,20423.534,-3.4660000000000002,-2,0,-8,20437,914,1351,622,0,0,603,621,0.59999999999999998,0,1887.836,864.95399999999995,1207.99,172.685,19.045999999999999
2022-03-11 09:00:00,20698.066999999999,-2.9329999999999998,-2,0,-6,20709,914,1361,220,0,0,603,452,0.59999999999999998,0,2099.4560000000001,798.35699999999997,1527.99,311.77699999999999,18.959
2022-03-11 10:00:00,20785.600999999999,-4.399,-2,0,-4,20796,915,1356,24,0,0,603,446,0.59999999999999998,0,2077.2460000000001,914.31600000000003,1649.6859999999999,339.33800000000002,18.864999999999998
2022-03-11 11:00:00,20787.935000000001,-5.0650000000000004,-2,0,-6,20801,914,1340,0,0,0,603,486,0.59999999999999998,0,2218.0030000000002,961.23099999999999,1669.7829999999999,240.95400000000001,18.507000000000001
2022-03-11 12:00:00,20709.067999999999,-4.9320000000000004,-2,0,-5,20721,913,1351,0,0,0,603,718,0.59999999999999998,0,1989.3889999999999,1000.673,1569.316,234.38900000000001,18.794
2022-03-11 13:00:00,20959.067999999999,-4.9320000000000004,-2,0,-6,20972,914,1360,0,0,0,603,694,0.59999999999999998,0,1771.4280000000001,1010.419,1373.653,174.54599999999999,18.798999999999999
2022-03-11 14:00:00,21106.067999999999,-4.9320000000000004,-2,0,-5,21118,914,1363,0,0,0,603,1022,0.59999999999999998,0,1350.924,1056.5740000000001,1175.646,173.21199999999999,18.766999999999999
2022-03-11 15:00:00,21237.348000000002,-4.532,-2,0,-6,21249.880000000001,914,1373,0,0,0.17199999999999999,603,832,0.59999999999999998,0,1384.165,1137.453,1144.048,114.398,18.641999999999999
2022-03-11 16:00:00,21215.935000000001,-5.0650000000000004,-2,0,-6,21229,913,1251,0,0,0,603,959,0.59999999999999998,0,1705.2329999999999,1189.5899999999999,816.66399999999999,147.822,16.029
2022-03-11 17:00:00,21439.201000000001,-4.7990000000000004,-2,0,-5,21451,913,1260,24,0,30.905999999999999,603,1096,0.59999999999999998,0,1593.5830000000001,1149.23,264.46100000000001,270.07100000000003,8.2520000000000007
2022-03-11 18:00:00,21639.781000000003,-4.7990000000000004,-2,0,-4,21650.580000000002,913,1224,132,0,298.71100000000001,603,1308,0.59999999999999998,0,1003.867,1189.607,30.032,274.005,8.2530000000000001
2022-03-11 19:00:00,21770.067999999999,-4.9320000000000004,-2,0,-6,21783,913,1184,128,0,311.22300000000001,603,1340,0.59999999999999998,0,1517.404,1201.4659999999999,0.42199999999999999,275.41199999999998,8.5800000000000001
2022-03-11 20:00:00,21727.067999999999,-4.9320000000000004,-2,0,-6,21740,913,1165,23,0,86.403999999999996,603,328,0.59999999999999998,0,1965.5930000000001,1044.191,0,265.90300000000002,8.5109999999999992
2022-03-11 21:00:00,20696.067999999999,-4.9320000000000004,-2,0,-854,21557,913,1169,0,0,0,603,0,0.59999999999999998,0,1774.981,1147.2470000000001,0,88.539000000000001,12.942
2022-03-11 00:00:00,17569.935000000001,-5.0650000000000004,-2,0,-2131,19708,914,1154,0,0,0,603,0,0,0,1826.962,913.35699999999997,0,17.449000000000002,18.298999999999999
2022-03-11 01:00:00,17431.111000000001,-4.7990000000000004,-2,0,-2186,19623.91,914,1170,0,0,0,603,0,0,0,1582.384,924.30700000000002,0,0,18.25
2022-03-11 02:00:00,17460.935000000001,-5.0650000000000004,-2,0,-2172,19640,914,1181,0,0,0,603,0,0,0,1448.9269999999999,906.11000000000001,0,0,15.845000000000001
2022-03-11 03:00:00,17618.800999999999,-5.1989999999999998,-2,0,-2202,19828,914,1175,0,0,0,603,0,11.199999999999999,0,1580.973,853.88300000000004,0,0,15.695
2022-03-11 04:00:00,18578.201000000001,-4.7990000000000004,-2,0,-1537,20122,914,1195,0,0,0,603,0,42,0,1671.895,880.48699999999997,0,0,15.706
2022-03-11 22:00:00,19546.067999999999,-4.9320000000000004,-2,0,-1741,21294,913,1141,0,0,0,603,0,0.59999999999999998,0,1361.7139999999999,1189.4010000000001,0,0,15.837999999999999
2022-03-11 23:00:00,18697.201000000001,-4.7990000000000004,-2,0,-2207,20911,913,1133,0,0,0,603,0,0.59999999999999998,0,1160.837,1190.8820000000001,0,0,15.769
2022-03-11 01:00:00,17431.111000000001,-4.7990000000000004,-2,0,-2186,19623.91,914,1170,0,0,0,603,0,0,0,1582.384,924.30700000000002,0,0,18.25
2022-03-11 02:00:00,17460.935000000001,-5.0650000000000004,-2,0,-2172,19640,914,1181,0,0,0,603,0,0,0,1448.9269999999999,906.11000000000001,0,0,15.845000000000001
2022-03-11 03:00:00,17618.800999999999,-5.1989999999999998,-2,0,-2202,19828,914,1175,0,0,0,603,0,11.199999999999999,0,1580.973,853.88300000000004,0,0,15.695
2022-03-11 04:00:00,18578.201000000001,-4.7990000000000004,-2,0,-1537,20122,914,1195,0,0,0,603,0,42,0,1671.895,880.48699999999997,0,0,15.706
2022-03-11 05:00:00,20252.935000000001,-5.0650000000000004,-2,0,-89,20349,914,1215,24,0,0,603,1083,30.800000000000001,0,1236.008,930.81200000000001,0,0,15.772
2022-03-11 06:00:00,20388.401000000002,-3.5990000000000002,-2,0,-4,20398,914,1380,382,0,165.595,603,1688,0,342.69999999999999,785.18899999999996,999.59100000000001,29.305,0,16.042000000000002
2022-03-11 07:00:00,20496.934000000001,-3.0659999999999998,-2,0,-6,20508,914,1365,608,0,69.757999999999996,603,560,0.25,104.3,1339.752,1007.275,540.87300000000005,5.0309999999999997,17.763000000000002
2022-03-11 08:00:00,20423.534,-3.4660000000000002,-2,0,-8,20437,914,1351,622,0,0,603,621,0.59999999999999998,0,1887.836,864.95399999999995,1207.99,172.685,19.045999999999999
2022-03-11 09:00:00,20698.066999999999,-2.9329999999999998,-2,0,-6,20709,914,1361,220,0,0,603,452,0.59999999999999998,0,2099.4560000000001,798.35699999999997,1527.99,311.77699999999999,18.959
2022-03-11 10:00:00,20785.600999999999,-4.399,-2,0,-4,20796,915,1356,24,0,0,603,446,0.59999999999999998,0,2077.2460000000001,914.31600000000003,1649.6859999999999,339.33800000000002,18.864999999999998
2022-03-11 11:00:00,20787.935000000001,-5.0650000000000004,-2,0,-6,20801,914,1340,0,0,0,603,486,0.59999999999999998,0,2218.0030000000002,961.23099999999999,1669.7829999999999,240.95400000000001,18.507000000000001
2022-03-11 12:00:00,20709.067999999999,-4.9320000000000004,-2,0,-5,20721,913,1351,0,0,0,603,718,0.59999999999999998,0,1989.3889999999999,1000.673,1569.316,234.38900000000001,18.794
2022-03-11 13:00:00,20959.067999999999,-4.9320000000000004,-2,0,-6,20972,914,1360,0,0,0,603,694,0.59999999999999998,0,1771.4280000000001,1010.419,1373.653,174.54599999999999,18.798999999999999
2022-03-11 14:00:00,21106.067999999999,-4.9320000000000004,-2,0,-5,21118,914,1363,0,0,0,603,1022,0.59999999999999998,0,1350.924,1056.5740000000001,1175.646,173.21199999999999,18.766999999999999
2022-03-11 15:00:00,21237.348000000002,-4.532,-2,0,-6,21249.880000000001,914,1373,0,0,0.17199999999999999,603,832,0.59999999999999998,0,1384.165,1137.453,1144.048,114.398,18.641999999999999
